subscription_id,customer_id,start_date,end_date,status,mrr
sub_916f4d9e25f6,cus_9829343c1f9a,2025-11-15,,active,20.0
sub_8517a108f05d,cus_327fa40364da,2025-12-19,,active,15.0
sub_0e9b0e991be2,cus_fe8fa5a3e071,2026-01-22,,active,45.0
sub_af4590ceaf1f,cus_cf66dff2064e,2025-10-31,,active,45.0
sub_cf27534bfd3d,cus_024ac83ee436,2025-12-16,2026-02-09,canceled,15.0
sub_504b56ada380,cus_cf85d3c22b50,2025-12-16,,active,15.0
sub_84bc6080715a,cus_3a78dfb49efb,2026-01-05,2026-06-09,canceled,15.0
sub_b23d3926641f,cus_eceac8db19eb,2025-11-21,,active,12.0
sub_90be73ca9b5e,cus_4484a7c1d13b,2025-10-17,,active,15.0
sub_badb29755ccf,cus_b65cb06c50b5,2025-05-10,2025-07-05,canceled,20.0
sub_123dbfb0bcde,cus_bcc91850ceae,2025-08-15,,active,20.0
sub_581d322d713b,cus_d514323cfe22,2025-10-10,,active,12.0
sub_5057a8f110c7,cus_04211eeafd9b,2025-12-22,,active,12.0
sub_ac830f43eed7,cus_c24cb40fcca4,2025-09-13,,active,15.0
sub_da2b000d5f3c,cus_c8ef06c244cb,2026-01-07,,active,60.0
sub_94eafcafe5dd,cus_6948a45d9b4a,2026-01-13,,active,15.0
sub_b3378b0ef399,cus_e7d76c958737,2025-10-18,,active,12.0
sub_ecb56b6a0820,cus_637bced997ea,2025-12-21,,active,12.0
sub_08bfa1e90ae5,cus_64ad4df23b01,2026-02-12,,active,15.0
sub_5b7358529430,cus_1952bf5e57b9,2026-01-14,,active,45.0
sub_aa5a6a141d50,cus_a16b8d849f47,2025-07-25,,active,12.0
sub_2c58e7fb0f80,cus_e2b2b4c488cd,2026-01-30,,active,12.0
sub_a39a85e00876,cus_743c2af69545,2025-11-23,,active,20.0
sub_8e2a0488a1b5,cus_89bfee1db571,2025-12-09,,active,60.0
sub_0aeda6dc50c9,cus_1670b849f62a,2026-02-07,,active,20.0
sub_73f6e0d46ffe,cus_bdfba803fa7a,2025-05-27,,active,15.0
sub_2df8d599db5c,cus_ba1446081441,2025-12-09,,active,15.0
sub_69ba4d0455b0,cus_3eabb1d7bc41,2026-01-14,,active,12.0
sub_3287d70be0e5,cus_16925d416a27,2025-11-14,,active,60.0
sub_e01cf45ae278,cus_5fda5bed85e8,2025-06-30,,active,15.0
sub_64efd6a89c2b,cus_359c85c650e5,2026-01-09,,active,20.0
sub_7f95aeb6e4bc,cus_00866582e8b4,2024-10-20,,active,20.0
sub_1211d62fa5f4,cus_56c18c6aed19,2025-08-17,,active,15.0
sub_d360515fd4bb,cus_d4d250077502,2025-10-08,,active,15.0
sub_fe5c83dada3c,cus_7dddfd34ac99,2025-05-11,,active,60.0
sub_40bfbc19af81,cus_0eb6767f6b72,2025-03-21,,active,20.0
sub_76cc4617f9f7,cus_8782b10c5856,2025-12-31,,active,12.0
sub_92af721b6c17,cus_2a4b5c74af5a,2026-01-02,,active,15.0
sub_86a67edc2606,cus_c866dfebfa38,2024-10-25,,active,12.0
sub_8a59298b0350,cus_7ee75cd30b4e,2025-11-30,,active,45.0
sub_d9e1c912754b,cus_c4745efb30bb,2026-01-11,,active,90.0
sub_6d90e97f1ffc,cus_abaa1dcaeb8b,2026-02-03,,active,12.0
sub_3741f09abb4a,cus_1928f300588c,2025-11-20,,active,20.0
sub_5b804070929a,cus_59a1e4227a42,2024-11-30,2024-12-18,canceled,12.0
sub_14feccd7e2a4,cus_a582240a3f91,2025-09-23,,active,12.0
sub_e20af05c83c2,cus_fff33e97b739,2026-01-26,,active,20.0
sub_8718aeefa874,cus_b334085c37ed,2026-01-21,,active,12.0
sub_2810833d2237,cus_7160fdc973bd,2026-01-08,,active,20.0
sub_d61bdd056784,cus_ad9c408c597f,2025-07-17,,active,15.0
sub_af511bf8b991,cus_9c520d9d34bb,2026-01-25,2026-02-05,canceled,15.0
sub_020402ebd632,cus_8fee3ce21f97,2025-10-16,,active,12.0
sub_371343b77662,cus_29fd829d55af,2026-01-15,,active,12.0
sub_f66f10aa6992,cus_b429fc85c2b1,2026-02-08,,active,12.0
sub_e4e2be357801,cus_d7ebd9ebc9b5,2025-09-17,2026-03-22,canceled,15.0
sub_8d4c5a4dbf4b,cus_e1339191670c,2025-11-25,2026-03-23,canceled,12.0
sub_a35950d8db57,cus_d5118c64391a,2025-08-15,2025-10-19,canceled,15.0
sub_8be9b1836fc2,cus_3d333497c977,2026-02-11,,active,12.0
sub_942c34f335c0,cus_d7b577d022e3,2026-01-27,,active,12.0
sub_ee0d8457247c,cus_75c9b2360e43,2025-12-15,,active,15.0
sub_ed6f202404d7,cus_5b02dd282f5f,2025-11-16,,active,12.0
sub_a5a437111765,cus_150b74423760,2025-11-16,,active,60.0
sub_07b85470da07,cus_a7736136df3a,2025-09-17,,active,45.0
sub_b9a851700998,cus_2638902172e2,2026-02-06,,active,45.0
sub_76f96bc70c4e,cus_749881e8e640,2025-09-17,,active,60.0
sub_2f2e85913ec9,cus_218f9a879a33,2025-12-03,,active,15.0
sub_f5943afb2a7c,cus_c0a292ee141b,2025-09-18,,active,90.0
sub_fe1d8704f631,cus_3c5e5ab9a51a,2025-12-30,,active,12.0
sub_6467ababed81,cus_1df32f4d5714,2026-01-04,,active,12.0
sub_c1ef3afa6862,cus_b97c1fd6d4ed,2026-02-12,,active,60.0
sub_f1d10e6001c7,cus_a63f1354ebca,2025-01-26,,active,12.0
sub_cbc06a4ad9ce,cus_4cd40b92373f,2025-11-08,,active,20.0
sub_b807b32b9801,cus_a9b064aabf2f,2025-10-12,,active,15.0
sub_c5578380680b,cus_18dc175abde1,2026-02-02,,active,20.0
sub_03de34c1e846,cus_192d0c5fa374,2025-05-30,,active,12.0
sub_fc2a7158bd6e,cus_8cb9efa0633e,2026-01-13,,active,60.0
sub_fc256dd83b88,cus_27d9b6aaecb0,2024-07-09,,active,15.0
sub_6d346435d138,cus_bd944a9bf4db,2025-10-15,,active,45.0
sub_ecc15f07ef84,cus_a0a7de404687,2026-01-13,2026-02-03,canceled,15.0
sub_1731b2124fa7,cus_0db67fd261bf,2026-02-15,,active,20.0
sub_99e1716d64d0,cus_c83eb2fcbb25,2025-02-27,,active,12.0
sub_4daf2a0efd1f,cus_9415cb1d0f65,2025-12-11,,active,12.0
sub_44fd716b68d2,cus_b1487178b86a,2025-10-28,,active,15.0
sub_ff8222268904,cus_586427043bae,2025-11-08,2026-04-17,canceled,12.0
sub_46e1bba552c1,cus_ab34c0eeebc7,2026-01-03,,active,12.0
sub_8ee5001a0581,cus_f1f61351e12f,2026-01-10,,active,15.0
sub_fc1aea1ea851,cus_a48acbbeddd5,2025-11-10,,active,20.0
sub_096369871a30,cus_618d4da53970,2026-01-29,2026-06-07,canceled,12.0
sub_e7e04872eabb,cus_38dd8e0a87fe,2025-12-20,,active,15.0
sub_844a364fb919,cus_17167b7454c2,2026-01-29,2026-04-05,canceled,15.0
sub_a3436a530f69,cus_3d9d85e131d8,2026-01-02,,active,45.0
sub_60b412217355,cus_0e8d9c73ca11,2025-12-07,,active,12.0
sub_0f7c69d16aed,cus_f5d7bf2bdff9,2025-07-25,,active,15.0
sub_c54277613644,cus_491295fe2d28,2025-06-07,,active,15.0
sub_da600124f58d,cus_674c4abdb9e1,2025-09-21,,active,20.0
sub_03574590be86,cus_03237f0d3c30,2026-01-06,,active,15.0
sub_3cf25d49ee89,cus_d610c689c4aa,2026-01-11,,active,15.0
sub_a2a9c2dd631a,cus_3041a5737452,2025-09-20,,active,15.0
sub_5eaf37acc1b2,cus_92f66fe4caab,2025-07-11,,active,20.0
sub_d488ac84b457,cus_590562e7de41,2026-01-08,,active,15.0
sub_b4b94097bc09,cus_3c278f8f131f,2025-12-31,,active,15.0
sub_ab116d39d2cc,cus_ca58c06f11a6,2025-08-29,,active,12.0
sub_997df07f2d91,cus_062817254aa8,2026-02-07,2026-03-03,canceled,45.0
sub_332157827b2c,cus_cc8473712394,2025-12-20,,active,15.0
sub_15b533621a17,cus_15d5fe9d1d9d,2025-07-14,,active,12.0
sub_f9c5e7d00ad2,cus_ecb94d98cfcd,2026-01-29,2026-03-09,canceled,20.0
sub_7a584f8f3d14,cus_a1c69625482c,2025-10-29,,active,15.0
sub_c1ce8fa1f473,cus_9b0bb1067723,2025-06-27,,active,12.0
sub_389c6bf4f5b6,cus_bb209f20b1f3,2025-12-03,,active,12.0
sub_561f9817e0b5,cus_851cb92a12cf,2026-02-10,,active,12.0
sub_29ee7dc46a5c,cus_8c9a7561785e,2025-07-27,,active,90.0
sub_74ae4ead9bf1,cus_8cd051318293,2025-06-28,,active,15.0
sub_d93fa7849c8e,cus_3657d4327100,2026-01-05,,active,15.0
sub_9dc8d2e4472b,cus_f6eb16c057d0,2025-12-08,,active,15.0
sub_8ecf3fd82c05,cus_af1a1607b9a7,2026-01-11,,active,12.0
sub_4ace840fa419,cus_8cb7144b2301,2026-01-28,,active,60.0
sub_9ddef0522ab2,cus_85823eb8a5e3,2025-11-02,,active,15.0
sub_0f714f77cfa9,cus_30c647edf641,2026-01-09,,active,12.0
sub_f063c511390f,cus_7dd8b8e53823,2025-11-17,,active,15.0
sub_41f3ed26aaf1,cus_ae0de33fbb60,2025-11-09,,active,45.0
sub_0204d0a60c3c,cus_b49100d4d805,2025-10-22,,active,15.0
sub_f29656862c99,cus_2d1f7737d378,2025-11-15,2026-03-20,canceled,12.0
sub_a6609a4c60fe,cus_1d8a4ae107ed,2026-01-31,,active,12.0
sub_c44438983a25,cus_6658847f8f8c,2025-11-03,,active,12.0
sub_a01a306a5ac0,cus_a0a403f5ad02,2026-02-10,,active,15.0
sub_f26297ce20fc,cus_0cbb65973e2e,2025-12-27,,active,12.0
sub_3d036b9c74d3,cus_e6c580a2e796,2025-07-23,,active,12.0
sub_f114a9af0a64,cus_c47ad856fb82,2025-04-23,,active,45.0
sub_767008e01c8a,cus_448123f0821c,2025-10-24,2025-11-23,canceled,15.0
sub_33c0242dbf01,cus_7e35838ccb32,2025-11-04,2026-01-26,canceled,12.0
sub_78a8ed0b0e6e,cus_c6df25a10fad,2025-12-26,2026-02-04,canceled,12.0
sub_ddfc122921e1,cus_ef6c829d9b74,2026-01-15,,active,15.0
sub_d89468393da7,cus_d640f4dbf073,2025-06-29,2025-10-26,canceled,12.0
sub_54687585c695,cus_6c029ca9919c,2025-11-05,,active,15.0
sub_1b2a520b30bd,cus_9ed216d00fd6,2026-01-07,,active,15.0
sub_39323514cda5,cus_25aea1e6ebb9,2025-12-27,2026-02-27,canceled,15.0
sub_6b6eea7aa1b3,cus_15820b358c75,2025-11-09,,active,12.0
sub_f485097d6d71,cus_5113626a937d,2026-02-05,,active,12.0
sub_bdaced35cbb9,cus_92bdd42c168f,2025-12-18,,active,45.0
sub_321c9677e81f,cus_1aa08816a66c,2025-12-23,,active,15.0
sub_71ee31759cb7,cus_abfb57bae7c7,2026-01-08,2026-02-05,canceled,12.0
sub_ce4437297800,cus_dd4740c27cf1,2026-01-02,,active,12.0
sub_e88a03b1ebab,cus_c5482c5b0c7c,2025-12-11,,active,15.0
sub_5bb55a95274d,cus_d3f870798b25,2025-11-05,2026-01-12,canceled,15.0
sub_91d5e03edc7b,cus_2407752ad17d,2026-02-05,,active,12.0
sub_3f8fe856b3db,cus_7921df219bcc,2025-09-27,2026-04-10,canceled,45.0
sub_c556a97e86d9,cus_d6ef1f77da2a,2026-02-04,,active,12.0
sub_013789985418,cus_76954efcb196,2025-10-18,,active,12.0
sub_54c825debb9a,cus_cde2a4c9ea26,2026-01-12,,active,12.0
sub_671793031e75,cus_1da65bbf20be,2026-01-06,2026-09-11,canceled,20.0
sub_c8238da9eeff,cus_25225392149f,2025-09-02,,active,15.0
sub_23b42cdb75f9,cus_5baeb5f9ff47,2025-01-19,2025-05-17,canceled,12.0
sub_b3dccaf9e298,cus_eda93e1614de,2025-11-27,,active,45.0
sub_413232ebacf2,cus_0b7a2d424f78,2026-02-10,2026-04-09,canceled,15.0
sub_ed1dc86a118d,cus_0b62bc8b8508,2025-12-09,,active,15.0
sub_66be8db9c92e,cus_aabdff489710,2025-08-01,2025-08-11,canceled,12.0
sub_d9e062ffca3d,cus_fe75cb7194fd,2025-09-11,,active,60.0
sub_b945d33a1ea6,cus_bd4a44f743cc,2025-11-28,,active,12.0
sub_43ddc0eca7b9,cus_bf9dbb0e98bc,2025-11-13,,active,15.0
sub_318930e551a5,cus_bd4ca43b8cc0,2024-11-02,,active,15.0
sub_71d892959eb1,cus_2cd439ffad17,2026-01-11,,active,45.0
sub_68df6c4db846,cus_8593eedc8a9a,2026-01-15,,active,45.0
sub_f04a677b1707,cus_c838d2bd0f75,2026-01-20,,active,45.0
sub_5f9b48af3eb9,cus_69679facdd23,2025-08-14,2025-12-09,canceled,15.0
sub_22da2d3b2e1a,cus_cd6e47f84da6,2026-02-11,,active,15.0
sub_e59c844ecf8d,cus_8ac6994ae688,2026-01-29,,active,20.0
sub_cb629fa781a3,cus_34fd6bba536e,2026-01-17,,active,45.0
sub_2a0397517a71,cus_d67c599d1883,2025-12-05,2026-02-09,canceled,15.0
sub_94b96eb90725,cus_a7d42996ca6c,2025-08-29,,active,45.0
sub_b803556259c0,cus_b70135094d0e,2025-03-22,,active,12.0
sub_b8c16dec0343,cus_9e82a0d9b2bb,2025-09-30,,active,12.0
sub_ba30f66d26c2,cus_5391bed2a6a6,2025-12-14,,active,15.0
sub_f6a5a35da59e,cus_8c53a3c32b1a,2026-02-01,,active,12.0
sub_001ccf676792,cus_cedb911913ee,2026-01-05,,active,15.0
sub_a5d1d537585f,cus_addec79c0fcd,2026-01-27,,active,12.0
sub_6dc30a03a648,cus_4e4710ce1827,2025-11-19,2026-06-01,canceled,15.0
sub_6604eb49a5e0,cus_784c613e3c5c,2025-12-13,,active,12.0
sub_56a954659573,cus_f0e44c3fb613,2025-10-01,,active,12.0
sub_c65d2450d6b9,cus_1e7f906e4b58,2025-07-28,,active,12.0
sub_4c7c949f8e53,cus_7c9923d6f7f3,2025-11-13,,active,15.0
sub_1dad2e3fd9cd,cus_e5cc4f87a2fc,2026-02-06,,active,15.0
sub_a6634ac8c81f,cus_bdc3d27a2ff1,2025-02-10,,active,12.0
sub_22dd0c3f3b21,cus_fd984cf888b3,2025-02-25,,active,12.0
sub_b426b65f7478,cus_44240df84fbc,2025-04-10,,active,12.0
sub_161f5fef4ee8,cus_a1bba838a11e,2025-11-18,,active,12.0
sub_99f1712ae540,cus_ec6c2f9be479,2025-07-25,2025-11-07,canceled,15.0
sub_dae48d79664a,cus_f89595150e41,2025-09-09,,active,12.0
sub_fc047286fe30,cus_368ca8720d6b,2025-09-28,,active,12.0
sub_b46473e43d77,cus_9062a13c1b5b,2025-10-05,,active,12.0
sub_909d3cb78305,cus_b5579d37a744,2025-12-15,,active,20.0
sub_fba9dbefa6e6,cus_0f7663a7a69a,2025-11-26,,active,15.0
sub_1152cafa14e2,cus_368a411dbdf9,2025-09-13,,active,60.0
sub_c203d076053e,cus_1cc302e58cd6,2026-01-14,,active,12.0
sub_77ef98ae41d9,cus_14a6eac35279,2025-11-07,2025-12-12,canceled,20.0
sub_b97eaf4b0dcc,cus_9001a05189cd,2025-07-28,,active,20.0
sub_a7a676728c83,cus_e6d8344e5ee2,2025-12-17,,active,12.0
sub_9db2e17050c9,cus_ebcf09590b8f,2025-03-01,,active,12.0
sub_0932bd758872,cus_b91ee959ba39,2025-12-27,,active,90.0
sub_08f2691c009c,cus_cccc19aedfb2,2026-02-10,,active,15.0
sub_720b333c7f4c,cus_dedf06e50093,2025-11-12,,active,12.0
sub_a1840926093f,cus_452e31e70bd7,2025-08-04,,active,12.0
sub_10299114dda3,cus_04021d69a6cc,2025-11-24,,active,12.0
sub_b5167d6152d1,cus_6e701bf6d7a9,2026-01-21,2026-07-11,canceled,15.0
sub_deda983051cb,cus_8a49ac227c69,2025-12-23,,active,15.0
sub_7da60c0c4342,cus_f07ca0316958,2026-01-17,,active,15.0
sub_7e3d698eebb8,cus_3aecd0a0ceb7,2026-01-26,,active,20.0
sub_bbae08195814,cus_938bda15778f,2026-01-11,,active,15.0
sub_ad278e5c3abc,cus_af5ff359657e,2026-01-27,,active,60.0
sub_fab944ab3d5b,cus_3922a44f506a,2026-01-23,,active,12.0
sub_8bf17185f225,cus_7c36aeae8b27,2025-06-29,,active,20.0
sub_bd21a11d4053,cus_4152c12938fb,2026-01-20,,active,12.0
sub_f82c0836ee8a,cus_274c5871019e,2026-01-08,,active,45.0
sub_a51c266b2002,cus_8a62ffbef04a,2026-01-07,,active,12.0
sub_3723f73774d5,cus_918728b4a672,2025-08-19,2025-08-28,canceled,60.0
sub_c6cbd554f39d,cus_82f1f6e3ee41,2025-08-25,,active,12.0
sub_4f2e60bc08a3,cus_034fb4afcf95,2025-12-19,,active,20.0
sub_2e3781c7899f,cus_ddcbd7d90ffd,2026-01-12,,active,12.0
sub_bab016714b31,cus_9de95d696cc1,2025-12-07,,active,12.0
sub_89cab4937e2f,cus_e4388054a589,2025-09-23,,active,12.0
sub_95354b010ae5,cus_f05feccd9bc6,2026-02-08,2026-05-11,canceled,12.0
sub_2c2f006f12e6,cus_a63891719104,2026-01-12,,active,15.0
sub_c1c49d7bd00b,cus_cea32d9fa417,2025-09-25,,active,45.0
sub_3c40f9c2ef83,cus_b0f02f7ff941,2025-06-04,2025-06-23,canceled,15.0
sub_c4aba56973c9,cus_1855b9836843,2026-01-22,,active,20.0
sub_696b0bd6a34d,cus_33eeb9aed378,2025-08-24,,active,15.0
sub_5b77cbd8c33a,cus_ba2667bf00a6,2025-10-01,,active,12.0
sub_4edb0f8176a0,cus_04f5a0146613,2025-05-03,2025-11-18,canceled,60.0
sub_08bb81dc8f36,cus_8417fdc2028c,2026-01-14,,active,12.0
sub_2457e1d27f6e,cus_2cf5f7785d9f,2025-05-22,,active,12.0
sub_28d9933f0217,cus_905892017a17,2025-12-31,,active,15.0
sub_428ffc9fd81d,cus_7869d10ec99c,2026-01-19,,active,12.0
sub_abbaf8ee1210,cus_7013e5793b22,2025-12-16,2026-02-16,canceled,20.0
sub_31c70864dc09,cus_ec41c71f8fe8,2026-01-06,,active,12.0
sub_494de6d4ab50,cus_83bfb38a131e,2026-02-08,,active,15.0
sub_84e0fa3a03d1,cus_2b2741f53189,2025-06-08,,active,12.0
sub_c758a5f24a70,cus_6b43549b39cd,2025-12-08,2026-03-22,canceled,12.0
sub_c4f127f6709f,cus_44474d8c4e89,2025-12-19,,active,12.0
sub_d765664cac3f,cus_c652dd016fec,2025-10-06,,active,12.0
sub_f48fc689b3f6,cus_8da8c0b7c1b7,2026-02-10,2026-02-23,canceled,60.0
sub_f2f5d4077af8,cus_2e3a380a4e86,2025-11-19,,active,90.0
sub_e190d276b30b,cus_5a127971a268,2026-01-21,,active,60.0
sub_57f3c39cc026,cus_1682a0500966,2026-01-30,,active,12.0
sub_ef134926f565,cus_7bcc7f21f059,2024-12-28,,active,12.0
sub_b367e4728332,cus_7826ae1ee728,2026-01-31,,active,12.0
sub_368becc4a7f1,cus_165e78780771,2025-10-20,,active,12.0
sub_5f0aaf3d61c5,cus_d19ab14e4662,2026-02-14,,active,60.0
sub_9da38fdaf70e,cus_c5dff8aadabc,2026-01-07,2026-02-02,canceled,12.0
sub_5d4617f5c144,cus_c5f3ee28c802,2026-01-27,,active,15.0
sub_743309f79093,cus_aba4c06801c4,2025-10-28,,active,15.0
sub_e4284c3cddb3,cus_4b64bafffa13,2025-07-13,,active,12.0
sub_fba1508cda28,cus_51991ee65bea,2025-11-01,,active,15.0
sub_e9898fd62880,cus_a5059ef8cc9b,2025-12-05,2026-05-02,canceled,12.0
sub_3af6c3ae979b,cus_eb78bd5aa305,2025-05-31,,active,20.0
sub_576d9b8075ed,cus_d78b4084f767,2026-02-06,,active,12.0
sub_41ea937a3da4,cus_2764c4a7603f,2025-11-29,2025-12-15,canceled,12.0
sub_aecdc26bdfba,cus_491331d112e9,2025-12-27,2026-03-13,canceled,15.0
sub_da7ee8610870,cus_f4fca3c0fca7,2026-02-04,,active,12.0
sub_ea4279453553,cus_1647e1e1fa0f,2026-02-14,,active,12.0
sub_9191eb89ff8b,cus_45630fe3c200,2026-01-18,,active,45.0
sub_ee548ffa194b,cus_4b5aa8ec1e7b,2026-02-01,,active,12.0
sub_16c99e2883a9,cus_2aba326c1eaf,2025-11-12,,active,20.0
sub_2bb855745a5f,cus_31b0d17cfc77,2025-10-29,,active,20.0
sub_8e51e69701f5,cus_c488aab105f4,2026-01-28,2026-03-17,canceled,15.0
sub_3dfd4f9b90da,cus_6d004761efb9,2025-09-09,,active,12.0
sub_c9471eaa9a91,cus_a362c4290a5e,2025-12-14,,active,12.0
sub_0c0f804cc1e6,cus_9a0f6a5219bf,2025-11-20,2026-01-25,canceled,45.0
sub_d84fdce65927,cus_7e5f06b74c5b,2025-01-16,,active,15.0
sub_c854e001bee6,cus_517fdb015ca0,2025-12-27,2026-05-21,canceled,60.0
sub_1eb8dc43c197,cus_6ee5f41ccafa,2025-11-06,,active,15.0
sub_bc4aa3850b6e,cus_734ce42acedf,2025-09-20,2026-01-02,canceled,20.0
sub_b4fcc8ca8b8e,cus_9dd64c3667cc,2025-12-23,,active,20.0
sub_73081024b61c,cus_7e25829d1d2e,2024-09-17,,active,90.0
sub_34df8857d55e,cus_df5c8d893e34,2025-12-28,,active,12.0
sub_b2b76e76efa1,cus_73ce5aca0173,2025-12-24,,active,12.0
sub_c063ba8260fd,cus_d1752d478402,2025-12-05,,active,15.0
sub_7d020e9b7878,cus_7df7ea17ebff,2026-01-08,,active,60.0
sub_c8e4cc83893f,cus_1135a79d4e1a,2025-10-27,2025-12-24,canceled,15.0
sub_1d2c985d2a2a,cus_bb362bd6d576,2025-11-13,,active,12.0
sub_d9f7c0a9f72a,cus_95c7bbb36792,2025-03-20,,active,15.0
sub_6e3a4886f309,cus_912b40c93373,2025-07-31,,active,12.0
sub_51914c519b05,cus_2edf70f80c89,2025-12-16,,active,12.0
sub_e93e5b32ba5f,cus_0489ec797ead,2025-12-17,,active,45.0
sub_9405d126fdb8,cus_334f468f71f3,2026-02-13,,active,12.0
sub_84dbe8fc3742,cus_2659fb366458,2025-11-22,,active,15.0
sub_47b5487a0b26,cus_728cf5f87dbd,2025-05-11,2025-11-04,canceled,12.0
sub_16822bc37f7a,cus_23f6dbe74d57,2026-02-12,,active,45.0
sub_f25563f5e795,cus_94420f52728c,2025-07-29,,active,12.0
sub_34d4e7c252f9,cus_745b04214d82,2026-02-13,2027-03-21,canceled,60.0
sub_bc84a18f87aa,cus_b4247d2f8601,2025-11-17,2026-01-12,canceled,15.0
sub_59a6628184f6,cus_aa836e207da5,2026-01-26,,active,12.0
sub_2f00b998d53f,cus_198c6a59ecd3,2025-11-17,2026-06-08,canceled,12.0
sub_fcaec19913fc,cus_49dd6da23754,2025-12-09,,active,15.0
sub_6f43b7ce18a4,cus_526256e0dff7,2025-10-28,2025-11-21,canceled,15.0
sub_1a1f1f092858,cus_63fc14349987,2025-09-29,,active,45.0
sub_abb50e99b5a9,cus_1d2ba87ffa38,2025-10-23,,active,15.0
sub_50229e8a8eea,cus_ed6579cc3a99,2025-11-04,,active,15.0
sub_0cc160f6f522,cus_489ef01a13cd,2025-10-08,,active,12.0
sub_47a60861b591,cus_a2d89c726bc7,2025-11-17,,active,20.0
sub_abb4d42b6717,cus_848b041bcb5a,2025-09-15,,active,15.0
sub_986d5c288d3b,cus_d7f85d8e6951,2026-02-07,2026-02-19,canceled,90.0
sub_f4113cd5daf1,cus_55afbfb4cadf,2026-02-10,,active,20.0
sub_c59a890cf736,cus_5615b52af1c3,2025-12-11,,active,12.0
sub_1716507fecc2,cus_f864e313a393,2025-10-08,2026-01-04,canceled,60.0
sub_80aede078d17,cus_ee10a5b61372,2024-01-20,,active,15.0
sub_88407e4582e7,cus_8e2e5a48043b,2025-11-17,,active,12.0
sub_8da6b0c88020,cus_f655bc7adf30,2025-10-12,2025-12-25,canceled,12.0
sub_0cbcb142167d,cus_d7f4b4af5564,2023-10-15,,active,12.0
sub_ee681b8fd4ef,cus_4bd9cbc924d7,2026-01-25,,active,12.0
sub_df5a2661ec4d,cus_200c9879b8ab,2025-10-26,,active,12.0
sub_a6ec63019fc8,cus_d6c96fc649a6,2025-07-31,,active,12.0
sub_74bc563d1fd3,cus_4d529c35b731,2026-01-02,,active,90.0
sub_2595c9f88ca9,cus_bae84e0b7e50,2026-01-12,,active,15.0
